inning,top_or_bottom,atbat_num_within_game,batter_name,batter_team,stand,pitcher_name,pitcher_team,p_throws,home_team_runs,away_team_runs,pitch_type_name,pitch_type_confidence,balls,strikes,last_pitch_in_atbat,pitch_num_within_atbat,break_angle,break_length,break_y,start_speed,end_speed,spin_dir,spin_rate,sz_bot,sz_top,zone,decision
2,bottom,15,Alex Bregman,Houston Astros,R,Samuel Gaviglio,Seattle Mariners,R,2,0,sinker,0.928,1,1,0,3,26.1,6,23.8,88.4,80.9,229.877,2120.02,1.487,3.285,12,Ball
2,bottom,15,Alex Bregman,Houston Astros,R,Samuel Gaviglio,Seattle Mariners,R,2,0,sinker,0.927,2,1,0,4,28.2,7,23.8,88.9,81.8,242.63,2134.554,1.487,3.285,14,Ball
2,bottom,15,Alex Bregman,Houston Astros,R,Samuel Gaviglio,Seattle Mariners,R,2,0,slider,0.849,3,1,1,5,-4.8,9.7,23.9,81,75.2,55.026,2174.804,1.535,3.371,1,Ball
2,bottom,16,George Springer,Houston Astros,R,Samuel Gaviglio,Seattle Mariners,R,2,0,slider,0.899,0,0,0,1,1.3,8.3,23.9,83.2,77.3,207.095,2174.763,1.535,3.371,13,Ball
2,bottom,16,George Springer,Houston Astros,R,Samuel Gaviglio,Seattle Mariners,R,2,0,sinker,0.917,1,0,0,2,24.2,7.1,23.8,88,81,245.709,2104.62,1.535,3.371,11,Ball
2,bottom,16,George Springer,Houston Astros,R,Samuel Gaviglio,Seattle Mariners,R,2,0,sinker,0.927,2,0,1,3,29.2,7.5,23.8,88.3,81.3,250.16,2098.131,1.535,3.371,5,Strike
3,top,17,Jarrod Dyson,Seattle Mariners,L,Brad Peacock,Houston Astros,R,2,0,,,0,0,0,1,,,,92.1,84.3,,,,,,Strike
3,top,17,Jarrod Dyson,Seattle Mariners,L,Brad Peacock,Houston Astros,R,2,0,,,0,1,0,2,,,,92.2,84.4,,,,,,Strike
3,top,17,Jarrod Dyson,Seattle Mariners,L,Brad Peacock,Houston Astros,R,2,0,knuckle curveball,0.99,0,2,0,3,-10.3,15.3,23.8,74.2,68.3,33.49,2678.699,1.504,3.301,14,Ball
3,top,17,Jarrod Dyson,Seattle Mariners,L,Brad Peacock,Houston Astros,R,2,0,,,1,2,1,4,,,,83.3,76.8,,,,,,Strike
3,top,18,Carlos Ruiz,Seattle Mariners,R,Brad Peacock,Houston Astros,R,2,0,two-seam fastball,0.932,0,0,0,1,41.2,6.2,23.8,92.2,83.8,238.224,2346.223,1.504,3.301,4,Strike
3,top,18,Carlos Ruiz,Seattle Mariners,R,Brad Peacock,Houston Astros,R,2,0,slider,0.954,0,1,0,2,-15.4,7.8,23.8,83.2,76.2,125.817,,1.504,3.301,9,Strike
3,top,18,Carlos Ruiz,Seattle Mariners,R,Brad Peacock,Houston Astros,R,2,0,slider,0.915,0,2,0,3,-25.2,7.5,23.8,83.2,76.1,124.578,2691.063,1.504,3.301,12,Ball
3,top,18,Carlos Ruiz,Seattle Mariners,R,Brad Peacock,Houston Astros,R,2,0,changeup,0.897,1,2,0,4,31.4,8.7,23.8,81.9,74.9,247.422,2036.158,1.504,3.301,14,Ball
3,top,18,Carlos Ruiz,Seattle Mariners,R,Brad Peacock,Houston Astros,R,2,0,two-seam fastball,0.926,2,2,1,5,40.1,7,23.8,92.2,84.3,246.791,2313.178,1.504,3.301,13,Strike
3,top,19,Guillermo Heredia,Seattle Mariners,R,Brad Peacock,Houston Astros,R,2,0,two-seam fastball,0.936,0,0,0,1,41.1,6.5,23.8,93.1,84.4,243.525,2214.304,1.504,3.301,5,Strike
3,top,19,Guillermo Heredia,Seattle Mariners,R,Brad Peacock,Houston Astros,R,2,0,two-seam fastball,0.933,0,1,0,2,39.4,6.5,23.8,93,84.7,243.476,2304.125,1.504,3.301,5,Strike
3,top,19,Guillermo Heredia,Seattle Mariners,R,Brad Peacock,Houston Astros,R,2,0,two-seam fastball,0.931,0,2,0,3,36,7.7,23.8,92.7,84.7,258.836,2252.823,1.504,3.301,11,Strike
3,top,19,Guillermo Heredia,Seattle Mariners,R,Brad Peacock,Houston Astros,R,2,0,slider,0.964,0,2,1,4,-10,8.1,23.9,83.9,77.7,115.498,2650.122,1.504,3.301,14,Strike
3,top,20,Jean Segura,Seattle Mariners,R,Brad Peacock,Houston Astros,R,2,0,slider,0.95,0,0,0,1,-10.6,7.2,23.9,84.5,78,142.293,2644.021,1.504,3.301,9,Strike
3,top,20,Jean Segura,Seattle Mariners,R,Brad Peacock,Houston Astros,R,2,0,two-seam fastball,0.91,0,1,0,2,39.2,7,23.8,90.2,82.5,245.739,2304.724,1.504,3.301,1,Strike
3,top,20,Jean Segura,Seattle Mariners,R,Brad Peacock,Houston Astros,R,2,0,two-seam fastball,0.939,0,2,1,3,47,6.4,23.8,93.8,85.5,241.397,2326.886,1.504,3.301,6,Strike
3,bottom,21,Jose Altuve,Houston Astros,R,Samuel Gaviglio,Seattle Mariners,R,2,0,sinker,0.927,0,0,0,1,31.6,6.5,23.8,88.2,80.4,236.4,2119.806,1.448,3.104,12,Ball
3,bottom,21,Jose Altuve,Houston Astros,R,Samuel Gaviglio,Seattle Mariners,R,2,0,curveball,0.857,1,0,1,2,-7,11.8,23.8,78.6,72.4,38.644,2265.518,1.448,3.104,14,Strike
3,bottom,22,Josh Reddick,Houston Astros,L,Samuel Gaviglio,Seattle Mariners,R,2,0,changeup,0.995,0,0,0,1,28,7.8,23.9,83.2,76.8,240.026,1621.093,1.448,3.104,13,Ball
3,bottom,22,Josh Reddick,Houston Astros,L,Samuel Gaviglio,Seattle Mariners,R,2,0,curveball,0.938,1,0,0,2,-6,11.8,23.8,77.4,71.2,38.37,2005.956,1.448,3.104,11,Ball
3,bottom,22,Josh Reddick,Houston Astros,L,Samuel Gaviglio,Seattle Mariners,R,2,0,slider,0.92,2,0,1,3,0.4,9.3,23.8,82.2,74.8,275.783,2111.944,1.448,3.104,6,Strike
3,bottom,23,Carlos Beltran,Houston Astros,L,Samuel Gaviglio,Seattle Mariners,R,2,0,sinker,0.931,0,0,0,1,23.8,6.7,23.8,88.8,81.3,240.29,2008.226,1.589,3.467,6,Strike
3,bottom,23,Carlos Beltran,Houston Astros,L,Samuel Gaviglio,Seattle Mariners,R,2,0,sinker,0.924,0,1,1,2,25.1,7.7,23.8,87.9,80.5,254.304,2026.23,1.565,3.411,3,Strike
3,bottom,24,Yulieski Gurriel,Houston Astros,R,Samuel Gaviglio,Seattle Mariners,R,2,0,changeup,0.918,0,0,0,1,28,8.1,23.8,84.4,77.6,247.98,1646.461,1.565,3.411,14,Ball
